,title,price,furnishing,bathrooms,tenant preferred,carpet area,House,BHK,place,floor_number,total_floors
180,"2 BHK Apartment for Rent in Coral Auriga, Coral Auriga, Maradu, Kochi,Coral Auriga, Maradu, Kochi Kochi",15000.0,Unfurnished,2.0,Bachelors/Family,,Apartment,2,Kochi,2.0,3.0
181,"3 BHK Apartment for Rent in Riviera Retreat, Thevara Kochi",45000.0,Furnished,3.0,Bachelors,,Apartment,3,Thevara,10.0,13.0
182,2 BHK Builder Floor for Rent in Vennala Kochi,10000.0,Semi-Furnished,1.0,Bachelors/Family,,Builder Floor,2,Vennala,1.0,2.0
183,3 BHK Apartment for Rent in Kadavanthra Kochi,20000.0,Semi-Furnished,3.0,Family,,Apartment,3,Kadavanthra,2.0,13.0
184,2 BHK Apartment for Rent in Kaloor Kochi,14000.0,Unfurnished,2.0,Family,750.0,Apartment,2,Kaloor,0.0,2.0
185,"4 BHK Apartment for Rent in Prestige Neptunes Courtyard, Marine Drive Kochi",70000.0,Furnished,5.0,Bachelors/Family,,Apartment,4,Marine Drive,15.0,16.0
186,2 BHK House for Rent in Panayappilly Kochi,15000.0,Semi-Furnished,2.0,Family,1100.0,House,2,Panayappilly,,
187,4 BHK House for Rent in Koonammavu Kochi,18500.0,Unfurnished,4.0,Bachelors/Family,1400.0,House,4,Koonammavu,1.0,2.0
188,2 BHK House for Rent in Nettoor Kochi,20000.0,Furnished,2.0,Bachelors/Family,,House,2,Nettoor,1.0,1.0
189,2 BHK House for Rent in Kacherippady Kochi,16000.0,Semi-Furnished,2.0,Bachelors/Family,,House,2,Kacherippady,1.0,3.0
190,3 BHK House for Rent in Cheppanam Kochi,150000.0,Semi-Furnished,3.0,Bachelors/Family,,House,3,Cheppanam,1.0,2.0
191,1 BHK Builder Floor for Rent in Kaloor Kochi,3500.0,Furnished,1.0,Bachelors/Family,,Builder Floor,1,Kaloor,1.0,3.0
192,1 BHK Builder Floor for Rent in Fort Kochi Kochi,9900.0,Semi-Furnished,1.0,Bachelors/Family,,Builder Floor,1,Fort Kochi,,
193,2 BHK Apartment for Rent in Pachalam Kochi,32000.0,Furnished,2.0,Bachelors/Family,850.0,Apartment,2,Pachalam,2.0,2.0
194,3 BHK Villa for Rent in Angamali Kochi,15000.0,Semi-Furnished,2.0,Bachelors/Family,,Villa,3,Angamali,,
195,4 BHK Apartment for Rent in Anjaneya Apartment Kochi,30000.0,Furnished,4.0,Bachelors/Family,1900.0,Apartment,4,Apartment,5.0,5.0
196,"2 BHK Apartment for Rent in Sowparnika Atrium, Edappally Kochi",36000.0,Semi-Furnished,2.0,Bachelors/Family,,Apartment,2,Edappally,1.0,9.0
197,"1 BHK Apartment for Rent in Prestige Hillside Gateway, Kakkanad Kochi",32000.0,Furnished,1.0,Bachelors,650.0,Apartment,1,Kakkanad,1.0,26.0
198,2 BHK House for Rent in ARA 88 Kochi,21000.0,Semi-Furnished,2.0,Bachelors/Family,1400.0,House,2,88,,
199,4 BHK House for Rent in Tripunithura Kochi,25000.0,Semi-Furnished,4.0,Bachelors/Family,,House,4,Tripunithura,,
200,3 BHK Apartment for Rent in Asset Homes Silicon Heights Kochi,40000.0,Furnished,4.0,Bachelors/Family,1700.0,Apartment,3,Heights,2.0,15.0
201,3 BHK House for Rent in Varapuzha Kochi,16000.0,Unfurnished,2.0,Family,,House,3,Varapuzha,,
202,"3 BHK Apartment for Rent in Mystic Heights Phase I, Vyttila Kochi",22000.0,Furnished,3.0,Family,1480.0,Apartment,3,Vyttila,1.0,18.0
203,1 BHK Apartment for Rent in Kakkanad Kochi,15000.0,Semi-Furnished,1.0,Bachelors/Family,750.0,Apartment,1,Kakkanad,1.0,4.0
204,4 BHK House for Rent in tripunithura Kochi,35000.0,Semi-Furnished,4.0,Bachelors/Family,,House,4,tripunithura,,
205,3 BHK Apartment for Rent in Kakkanad Kochi,38000.0,Furnished,3.0,Bachelors/Family,,Apartment,3,Kakkanad,16.0,20.0
206,1 BHK Apartment for Rent in Mather Esperansa Kochi,30000.0,Furnished,1.0,Bachelors,720.0,Apartment,1,Esperansa,12.0,12.0
207,"3 BHK Apartment for Rent in Puravankara Purva Grandbay, Marine Drive Kochi",45000.0,Furnished,3.0,Bachelors/Family,,Apartment,3,Marine Drive,10.0,14.0
208,3 BHK Apartment for Rent in Ravipuram Kochi,50000.0,Furnished,3.0,Bachelors/Family,2200.0,Apartment,3,Ravipuram,6.0,13.0
