title,price,furnishing,bathrooms,tenant preferred,carpet area,House,BHK,place,floor_number,total_floors
4 BHK Villa for Rent in Kundanoor Kochi,50000,Furnished,4,Bachelors/Family,,Villa,4,Kundanoor,,
4 BHK House for Rent in tripunithura Kochi,35000,Semi-Furnished,4,Bachelors/Family,,House,4,tripunithura,,
3 BHK Apartment for Rent in Tranquil Residency Kochi,25000,Unfurnished,4,Bachelors,1800,Apartment,3,Residency,9,11
"5 BHK Apartment for Rent in Marina One, Marine Drive Kochi",90000,Unfurnished,4,Bachelors,,Apartment,5,Marine Drive,11,27
"3 BHK Apartment for Rent in Shwas Aquacity, Aluva Kochi",35000,Furnished,4,Bachelors/Family,1700,Apartment,3,Aluva,,
3 BHK Builder Floor for Rent in Vazhakkala Kochi,12000,Semi-Furnished,3,Bachelors/Family,,Builder Floor,3,Vazhakkala,3,3
"3 BHK Apartment for Rent in Puravankara Purva Grandbay, Marine Drive Kochi",38000,Unfurnished,3,Bachelors,,Apartment,3,Marine Drive,4,13
2 BHK Builder Floor for Rent in Kalamassery Kochi,14500,Semi-Furnished,2,Bachelors/Family,,Builder Floor,2,Kalamassery,0,4
"3 BHK Apartment for Rent in Maison Dor, Panampily Nagar Kochi",52000,Furnished,4,Bachelors/Family,2100,Apartment,3,Panampily Nagar,13,17
"2 BHK House for Rent in Koovapadam, Kochi Kochi",10000,Furnished,3,Bachelors/Family,,House,2,Kochi,3,3
2 BHK Builder Floor for Rent in Kaloor Kochi,12000,Unfurnished,2,Bachelors/Family,,Builder Floor,2,Kaloor,1,1
3 BHK Service Apartment for Rent in Kakkanad Kochi,19500,,3,Bachelors/Family,,Service Apartment,3,Kakkanad,17,18
1 BHK House for Rent in Elamakkara Kochi,6500,Semi-Furnished,1,Bachelors/Family,68,House,1,Elamakkara,,
3 BHK Apartment for Rent in Pachalam Kochi,30000,Furnished,2,Bachelors/Family,1200,Apartment,3,Pachalam,0,2
2 BHK Builder Floor for Rent in Kaloor Kochi,18000,Semi-Furnished,2,Bachelors/Family,,Builder Floor,2,Kaloor,3,6
"3 BHK Apartment for Rent in Puravankara Purva Grandbay, Marine Drive Kochi",50000,Furnished,3,Bachelors/Family,,Apartment,3,Marine Drive,5,5
4 BHK Villa for Rent in vennala palarivatom Kochi,20000,Semi-Furnished,3,Bachelors/Family,1800,Villa,4,palarivatom,,
"3 BHK Villa for Rent in Sophia Homes, Perumbavoor Kochi",15000,Semi-Furnished,3,Bachelors/Family,1375,Villa,3,Perumbavoor,,
3 BHK Apartment for Rent in Kakkanad Kochi,30000,Semi-Furnished,4,Bachelors/Family,,Apartment,3,Kakkanad,9,20
Studio Apartment for Rent in South Kalamassery Kochi,4500,Semi-Furnished,,Bachelors/Family,,Apartment,S,Kalamassery,1,2
3 BHK Apartment for Rent in Kakkanad Kochi,26000,Furnished,3,Bachelors/Family,,Apartment,3,Kakkanad,0,18
2 BHK House for Rent in Angamali Kochi,20000,Furnished,3,Bachelors/Family,,House,2,Angamali,0,3
1 BHK Apartment for Rent in Kodungallur Kochi,12000,Furnished,1,Bachelors/Family,1200,Apartment,1,Kodungallur,1,1
3 BHK Villa for Rent in Desom Kochi,14000,Furnished,3,Bachelors/Family,,Villa,3,Desom,,
4 BHK Villa for Rent in Elamakkara Kochi,12500000,Furnished,3,Bachelors/Family,,Villa,4,Elamakkara,,
2 BHK House for Rent in Fort Cochin Kochi,1700000,Semi-Furnished,2,Bachelors,1200,House,2,Cochin,1,1
3 BHK Apartment for Rent in Edappally Kochi,20000,Semi-Furnished,3,Bachelors/Family,,Apartment,3,Edappally,9,11
2 BHK Apartment for Rent in Ayyappankavu Kochi,25000,,,Bachelors/Family,,Apartment,2,Ayyappankavu,,
2 BHK House for Rent in Thrippunithura Kochi,12000,Semi-Furnished,2,Bachelors/Family,,House,2,Thrippunithura,,
1 BHK Apartment for Rent in Irumpanam Kochi,9000,Furnished,1,Bachelors/Family,,Apartment,1,Irumpanam,0,4
1 BHK House for Rent in Vyttila Kochi,6000,Furnished,1,Bachelors/Family,,House,1,Vyttila,,
3 BHK House for Rent in Angamali Kochi,24000,Semi-Furnished,3,Bachelors/Family,1800,House,3,Angamali,0,2
1 BHK House for Rent in Edappally Kochi,8000,Semi-Furnished,1,Bachelors/Family,,House,1,Edappally,,
2 BHK House for Rent in Kakkanad Kochi,16500,Unfurnished,2,Bachelors,1500,House,2,Kakkanad,,
1 BHK House for Rent in PBK Myna Road Kochi,14500,Semi-Furnished,1,Bachelors/Family,1100,House,1,Road,,
2 BHK Apartment for Rent in Souparnika Atrium Kochi,25000,Semi-Furnished,2,Bachelors,750,Apartment,2,Atrium,9,10
