Date 	Open 	High 	Low 	Close 	Shares Traded 	Turnover (? Cr)	India VIX	STT rate	Avg Share price	Trading Volume 
19-Jul-18	10999.5	11006.5	10935.45	10957.1	222056399	12199.98	13.5925	0.05	10970.975	1.112023316
20-Jul-18	10963.5	11030.25	10946.2	11010.2	193144113	14105.94	13.535	0.05	10988.225	1.283732359
23-Jul-18	11019.85	11093.4	11010.95	11084.75	236153085	14932.51	13.005	0.05	11052.175	1.351092432
24-Jul-18	11109	11143.4	11092.5	11134.3	212247395	13931.15	12.4675	0.05	11117.95	1.253032259
25-Jul-18	11148.4	11157.15	11113.25	11132	212333169	12528.8	12.2075	0.05	11135.2	1.125152669
26-Jul-18	11132.95	11185.85	11125.7	11167.3	376657398	21595.33	12.0275	0.05	11155.775	1.935798275
27-Jul-18	11232.75	11283.4	11210.25	11278.35	324343457	15203.09	12.31	0.05	11246.825	1.351767277
30-Jul-18	11296.65	11328.1	11261.45	11319.55	287435926	14716.66	12.585	0.05	11294.775	1.302961768
31-Jul-18	11311.05	11366	11267.75	11356.5	264430889	15297.4	12.48	0.05	11316.875	1.351733584
01-Aug-18	11359.8	11390.55	11313.55	11346.2	278012697	14436.12	12.53	0.05	11352.05	1.27167516
02-Aug-18	11328.9	11328.9	11234.95	11244.7	216533127	12267.66	12.555	0.05	11281.925	1.087372944
03-Aug-18	11297.8	11368	11294.55	11360.8	225146360	12984.66	12.0775	0.05	11331.275	1.145913412
06-Aug-18	11401.5	11427.65	11370.6	11387.1	210002582	11321.55	12.5625	0.05	11399.125	0.993194653
07-Aug-18	11423.15	11428.95	11359.7	11389.45	233409612	12457.71	12.5775	0.05	11394.325	1.093325844
08-Aug-18	11412.5	11459.95	11379.3	11450	217047641	12422.62	12.54	0.05	11419.625	1.087830818
09-Aug-18	11493.25	11495.2	11454.1	11470.7	311521403	15842.76	12.6775	0.05	11474.65	1.380674792
10-Aug-18	11474.95	11478.75	11419.65	11429.5	336424182	15738.26	12.85	0.05	11449.2	1.374616567
13-Aug-18	11369.6	11406.3	11340.3	11355.75	254466760	12899.22	13.4	0.05	11373.3	1.134166864
14-Aug-18	11381.7	11452.45	11370.8	11435.1	239841680	13935.35	13.2825	0.05	11411.625	1.221153867
16-Aug-18	11397.15	11449.85	11366.25	11385.05	299610298	17081.62	13.645	0.05	11408.05	1.497330394
17-Aug-18	11437.15	11486.45	11431.8	11470.75	241985503	13275.31	13.16	0.05	11459.125	1.158492468
20-Aug-18	11502.1	11565.3	11499.65	11551.75	239843358	14119.93	13.0325	0.05	11532.475	1.224362507
21-Aug-18	11576.2	11581.75	11539.6	11570.9	231063669	13528.83	12.9025	0.05	11560.675	1.170245682
23-Aug-18	11620.7	11620.7	11546.7	11582.75	256163842	16117.77	12.7575	0.05	11583.7	1.391418113
24-Aug-18	11566.6	11604.6	11532	11557.1	225604574	13019.55	12.4075	0.05	11568.3	1.125450585
27-Aug-18	11605.85	11700.95	11595.6	11691.95	205689327	11707.5	12.2375	0.05	11648.275	1.005084444
28-Aug-18	11731.95	11760.2	11710.5	11738.5	249420312	13946.7	12.425	0.05	11735.35	1.188434942
29-Aug-18	11744.95	11753.2	11678.85	11691.9	259351550	14324.65	12.435	0.05	11716.025	1.222654441
30-Aug-18	11694.75	11698.8	11639.7	11676.8	323450305	18275.54	12.4125	0.05	11669.25	1.566128072
31-Aug-18	11675.85	11727.65	11640.1	11680.5	357230312	20755.73	12.5975	0.05	11683.875	1.776442319
03-Sep-18	11751.8	11751.8	11567.4	11582.35	241726864	16139.58	13.3925	0.05	11659.6	1.38423102
04-Sep-18	11598.75	11602.55	11496.85	11520.3	262701030	16254.78	13.7825	0.05	11549.7	1.407376815
05-Sep-18	11514.85	11542.65	11393.85	11476.95	253689858	15078.23	13.65	0.05	11468.25	1.314780372
06-Sep-18	11514.15	11562.25	11436.05	11536.9	255558129	15161	13.7225	0.05	11499.15	1.318445276
07-Sep-18	11558.25	11603	11484.4	11589.1	305029077	16441.02	13.89	0.05	11543.7	1.424241794
10-Sep-18	11570.25	11573	11427.3	11438.1	295597988	16513.89	15.2025	0.05	11500.15	1.435971705
11-Sep-18	11476.85	11479.4	11274	11287.5	318093125	18745.54	15.33	0.05	11376.7	1.647713309
12-Sep-18	11340.1	11380.75	11250.2	11369.9	276509748	15567.9	14.25	0.05	11315.475	1.375806142
14-Sep-18	11443.5	11523.25	11430.55	11515.2	285218296	16423.36	13.8425	0.05	11476.9	1.43099269
17-Sep-18	11464.95	11464.95	11366.9	11377.75	207620518	11294.84	14.495	0.05	11415.925	0.989393326
18-Sep-18	11381.55	11411.45	11268.95	11278.9	248298794	13814.11	14.415	0.05	11340.2	1.218154001
19-Sep-18	11326.65	11332.05	11210.9	11234.35	258424384	15116.69	14.005	0.05	11271.475	1.34114568
21-Sep-18	11271.3	11346.8	10866.45	11143.1	741153209	35131.19	15.535	0.05	11106.625	3.163084195
24-Sep-18	11164.4	11170.15	10943.6	10967.4	398815949	23023.34	17.4275	0.05	11056.875	2.082264654
25-Sep-18	10969.95	11080.6	10882.85	11067.45	417548830	22878.57	16.6825	0.05	10981.725	2.083331171
26-Sep-18	11145.55	11145.55	10993.05	11053.8	351041146	17803.68	17.0875	0.05	11069.3	1.608383547
